Equipo,Puntos,Partidos jugados,Partidos ganados,Partidos empatados,Partidos perdidos
Girona,44,17,17,17,17
Real Madrid,42,14,14,14,14
Barcelona,38,2 ,2 ,2 ,2 
Atlético,35,1,1,1,1
Athletic,35,17,17,17,17
R. Sociedad,30,13,13,13,13
Betis,27,3 ,3 ,3 ,3 
Getafe,26,1,1,1,1
Las Palmas,25,18,18,18,18
Valencia,23,11,11,11,11
Rayo,20,5 ,5 ,5 ,5 
Osasuna,19,2,2,2,2
Villarreal,19,17,17,17,17
Sevilla,16,11,11,11,11
Alavés,16,2 ,2 ,2 ,2 
Mallorca,15,4,4,4,4
Cádiz,14,18,18,18,18
Celta,13,10,10,10,10
Granada,8,5 ,5 ,5 ,5 
Almería,5,3,3,3,3
